,shop,category_fre,category_ita,url,attribution,icon_id,product_id,product_short_fre,product_short_ita,product_full_fre,product_full_ita,brand,quantity_fre,quantity_ita,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022,01.11.2022,14.11.2022,06.12.2022,16.12.2022
48,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/243120704000,"<a href=""https://www.flaticon.com/free-icons/turkey"" title=""turkey icons"">Turkey icons created by Freepik - Flaticon</a>",dinde,dinde_migros,,,Escalopes de dinde,Scaloppine di tacchino,Don Pollo,1kg,1kg,,17.0,17.0,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
49,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/104240600000,"<a href=""https://www.flaticon.com/free-icons/snack"" title=""snack icons"">Snack icons created by monkik - Flaticon</a>",barre_cereale,barre_cereale_migros,Barres de céréales,Barrette di cereali,Barres de Céréales Pomme-chocolat,Barrette di cereali Mela-cioccolato,Farmer Soft Choc,288g,288g,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
50,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/274450002300,"<a href=""https://www.flaticon.com/free-icons/potato"" title=""potato icons"">Potato icons created by Freepik - Flaticon</a>",patate,patate_migros,,,Pommes de terre farineuses,Patate farinose,Fresca,1kg,1kg,1.68,1.76,2.16,1.84,1.76,1.58,1.44,1.44,1.6,1.7,1.5,1.5,1.7,1.7,1.7
51,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/273800502400,"<a href=""https://www.flaticon.com/free-icons/green-beans"" title=""green beans icons"">Green beans icons created by Culmbio - Flaticon</a>",haricot,haricot_migros,,,Haricots verts,Fagiolini,Migros,1kg,1kg,5.5,5.5,5.5,8.6,8.6,8.6,8.4,8.4,8.4,6.7,8.4,7.2,5.9,5.5,5.5
52,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/230110600910,"<a href=""https://www.flaticon.com/free-icons/sausage"" title=""sausage icons"">Sausage icons created by Freepik - Flaticon</a>",saucisse,saucisse_migros,Saucisse à rôtir,Salsiccia da arrostire,Saucisse à rôtir de veau,Salsiccia di vitello,IP Suisse,1kg,1kg,17.14,17.14,17.14,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68,17.68
53,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/271400708400,"<a href=""https://www.flaticon.com/free-icons/tomato"" title=""tomato icons"">Tomato icons created by Icongeek26 - Flaticon</a>",tomate,tomate_migros,,,Tomates,Pomodori,M-Budget,1kg,1kg,1.9,2.7,2.7,3.2,3.0,3.0,3.0,3.0,3.0,3.0,,,,,3.1
54,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/251200300000,"<a href=""https://www.flaticon.com/free-icons/salmon"" title=""salmon icons"">Salmon icons created by surang - Flaticon</a>",saumon,saumon_migros,Filet de saumon,Filetto di salmone,Filet de saumon sans peau,Filetto di salmone senza pelle,M-Classic,500g,500g,24.75,24.75,23.5,23.5,23.5,23.5,23.5,23.5,23.5,28.5,23.5,23.5,16.25,23.5,23.5
55,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/111273500000,"<a href=""https://www.flaticon.com/free-icons/toast"" title=""toast icons"">Toast icons created by Freepik - Flaticon</a>",toast,toast_migros,Pain toast,Pane per tost,IP Suisse Pain clair de froment Toast & Sandwich,IP Suisse Pane bianco di frumento Toast & Sandwich,M-Classic,620g,620g,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
56,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/104474100000,"<a href=""https://www.flaticon.com/free-icons/semolina"" title=""semolina icons"">Semolina icons created by Freepik - Flaticon</a>",couscous,couscous_migros,Couscous,Couscous,Semoule de blé dur Couscous,Semola di grano duro Couscous,M-Classic,1kg,1kg,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
57,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/mo/3850321,"<a href=""https://www.flaticon.com/free-icons/chicken"" title=""chicken icons"">Chicken icons created by Freepik - Flaticon</a>",poulet,poulet_migros,Poulet entier,Pollo intero,Poulet Entier,Pollo intero,Optigal ,1kg,1kg,,9.7,9.7,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,7.95,9.95,9.95,7.95
58,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/520597600000,"<a href=""https://www.flaticon.com/free-icons/diaper"" title=""diaper icons"">Diaper icons created by Freepik - Flaticon</a>",couche,couche_migros,Couches,Pannolini,Couches Taille 2 - 4-8kg,Pannolini taglia 2 (4-8 kg),Pampers,76 pièces,76 pezzi,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95,19.95
59,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/mo/222484,"<a href=""https://www.flaticon.com/free-icons/salad"" title=""salad icons"">Salad icons created by Smashicons - Flaticon</a>",salade,salade_migros,Salade,Insalata,Salade Batavia,Insalata Batavia,Migros,1 pièce,1 pezzo,1.7,1.7,1.7,1.7,1.95,1.95,1.95,1.95,1.95,1.95,1.95,2.2,2.3,2.3,2.3
60,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/526222000000,"<a href=""https://www.flaticon.com/free-icons/toilet-paper"" title=""toilet paper icons"">Toilet paper icons created by Smashicons - Flaticon</a>",pq,pq_migros,Papier toilette,Carta igienica,"Comfort Recycling Papier toilette 200 feuilles, 3 plis","Carta igienica Comfort recycling 200 strappi, 3 strati",Soft,12 rouleaux,12 rotoli,6.3,6.3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.5,7.5,7.5,7.5
61,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/220262010092,"<a href=""https://www.flaticon.com/free-icons/cow"" title=""cow icons"">Cow icons created by Freepik - Flaticon</a>",boeuf,boeuf_migros,,,Filet de bœuf ,Filetto di manzo,Migros selection,180-220g,180-220g,21.0,21.8,21.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,18.2,18.2
62,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/271413502300,"<a href=""https://www.flaticon.com/free-icons/cherry-tomato"" title=""cherry tomato icons"">Cherry tomato icons created by Culmbio - Flaticon</a>",tomate_cerise,tomate_cerise_migros,Tomates cerises,Pomodori ciliegini,Tomates grappe Cerises,Pomodori cherry,Fresca,500g,500g,3.5,2.8,3.8,4.95,4.95,4.95,4.95,4.95,4.95,3.65,2.7,3.5,3.3,2.2,2.2
63,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/mo/6826101,"<a href=""https://www.flaticon.com/free-icons/bread"" title=""bread icons"">Bread icons created by Freepik - Flaticon</a>",pain,pain_migros,Pain bis bio,Pane integrale biologico,Pain bis Bio,Pane integrale bio,Migros,500g,500g,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
64,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/196025001000,"<a href=""https://www.flaticon.com/free-icons/egg"" title=""egg icons"">Egg icons created by Good Ware - Flaticon</a>",oeuf,oeuf_migros,Oeufs,Uova,Oeufs suisses M Élevage en plein air,Uova svizzere M Allevamento all'aperto,IP Suisse,10 pièces,10 pezzi,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
65,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/165041300000,"<a href=""https://thenounproject.com/browse/icons/term/fish-stick/"" target=""_blank"" title=""fish stick Icons"">Fish sticks</a>",stick,stick_migros,Sticks de poisson,Bastoncini di pesce,Bâtonnets de cabillaud panés,Bastoncini di merluzzo impanati,Pélican,10 pièces,10 pezzi,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.95,3.95
66,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/155127200000,"<a href=""https://www.flaticon.com/free-icons/tuna"" title=""tuna icons"">Tuna icons created by Smashicons - Flaticon</a>",thon,thon_migros,Thon en boîte,Tonno in scatola,Thon au naturel,Tonno al naturale,Rio Mare,112 g,112 g,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
67,Migros,Produits laitiers,Latticini,https://www.migros.ch/fr/product/205077400000,"<a href=""https://www.flaticon.com/free-icons/yogurt"" title=""yogurt icons"">Yogurt icons created by Freepik - Flaticon</a>",yogourt,yogourt_migros,Yogourt vanille,Yogurt alla vaniglia,Yogourt Vanille,Yogurt alla vaniglia,M-Classic,2x200 g,2x200 g,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
68,Migros,Produits laitiers,Latticini,https://www.migros.ch/fr/product/212681200000,"<a href=""https://www.flaticon.com/free-icons/mozzarella"" title=""mozzarella icons"">Mozzarella icons created by Smashicons - Flaticon</a>",mozzarella,mozzarella_migros,,,Mozzarella,Mozzarella,Galbani,150g,150g,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
69,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/107112500000,"<a href=""https://www.flaticon.com/free-icons/coffee-bean"" title=""coffee bean icons"">Coffee bean icons created by photo3idea_studio - Flaticon</a>",cafe_grain,cafe_migros,Café en grains,Caffè in chicchi,Café en grains Tradition,Caffè in chicchi Tradition,Chicco D'Oro  ,1kg,1kg,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.5,16.95,16.95,16.95,11.85
70,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/513893300000,"<a href=""https://www.flaticon.com/free-icons/shower-gel"" title=""shower gel icons"">Shower gel icons created by Freepik - Flaticon</a>",douche,douche_migros,Gel douche,Gel doccia,Gel douche Africa,Gel doccia Africa,Axe,400 ml,400 ml,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
71,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/231512181000,"<a href=""https://www.flaticon.com/free-icons/meat"" title=""meat icons"">Meat icons created by Icongeek26 - Flaticon</a>",jambon,jambon_migros,Jambon,Prosciutto,Jambon de derrière,Prosciutto cotto,Del Maître,120g,120g,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
72,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/520240200000,"<a href=""https://www.flaticon.com/free-icons/sanitary-napkin"" title=""sanitary napkin icons"">Sanitary napkin icons created by Freepik - Flaticon</a>",serviette,serviette_migros,,,Serviettes hygiéniques,Assorbenti,Always Ultra,22 pièces,22 pezzi,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
73,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/260283504100,"<a href=""https://www.flaticon.com/free-icons/apple-computer"" title=""apple computer icons"">Apple computer icons created by Freepik - Flaticon</a>",pomme,pomme_migros,Pommes,Mele,Pommes bio de saison,Mele biologiche,Migros Bio,1kg,1kg,,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,5.0,6.3,6.3,6.6
74,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/mo/12354,"<a href=""https://www.flaticon.com/free-icons/lasagna"" title=""lasagna icons"">Lasagna icons created by Icongeek26 - Flaticon</a>",lasagne,lasagne_migros,Lasagne,Lasagne,Lasagne Bolognaise,Lasagne alla bolognese,Findus,1kg,1kg,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,10.5,10.5,10.5,10.5
75,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/514160000000,"<a href=""https://www.flaticon.com/free-icons/toothpaste"" title=""toothpaste icons"">Toothpaste icons created by kosonicon - Flaticon</a>",dentifrice,dentifrice_migros,Dentifrice,Dentifricio,Dentifrice Protection caries,Dentifricio Protezione dalla carie,Elmex,75ml,75ml,,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.3,4.3,4.3,4.3,4.3
76,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/263330108400,"<a href=""https://www.flaticon.com/free-icons/fruit"" title=""fruit icons"">Fruit icons created by Freepik - Flaticon</a>",orange,orange_migros,,,Oranges blondes,Arance bionde,Fresca,1kg,1kg,1.55,1.55,1.55,1.55,1.55,1.55,1.65,2.25,2.25,2.15,1.88,1.93,1.58,1.55,1.55
77,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/521077800000,"<a href=""https://www.flaticon.com/free-icons/baby-food"" title=""baby food icons"">Baby food icons created by amonrat rungreangfangsai - Flaticon</a>",puree_bebe,puree_bebe_migros,Purée pour bébé,Papa per bébé,"Purée pour bébé Grenade, pomme et framboises / dès 6 mois","Purea per bambini Melograno, mela e lampone / dai 6 mesi",HiPP ,190g,190g,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.45,1.45,1.85,1.85,1.85,1.85
78,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/220221000110,"<a href=""https://www.flaticon.com/free-icons/meat"" title=""meat icons"">Meat icons created by photo3idea_studio - Flaticon</a>",viande_hachee,viande_hachee_migros,Viande hachée,Carne macinata,Viande hachée Mélangée,Carne macinata mista,IP Suisse,500g,500g,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,10.5,10.5
79,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/104226400000,"<a href=""https://www.flaticon.com/free-icons/cereal"" title=""cereal icons"">Cereal icons created by Freepik - Flaticon</a>",cereale,cereale_migros,Céréales,Cereali,Céréales croustillants Chocolat,Cereali croccanti al cioccolato,Kellogg's,600g,600g,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.2,5.2,5.2,5.2,5.2,5.2
80,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/mo/9688,"<a href=""https://www.flaticon.com/free-icons/toast"" title=""toast icons"">Toast icons created by Freepik - Flaticon</a>",parfait,parfait_migros,Parfait,Parfait,Pâte à tartiner au foie,Spalmabile al fegato,Le Parfait,200g,200g,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
81,Migros,Produits laitiers,Latticini,https://www.migros.ch/fr/product/204241700000,"<a href=""https://www.flaticon.com/free-icons/butter"" title=""Butter icons"">Butter icons created by Triangle Squad - Flaticon</a>",beurre,beurre_migros,Beurre,Burro,Le Beurre,Il Burro,Migros,250g,250g,3.6,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7,3.7,3.75,3.75
82,Migros,Produits laitiers,Latticini,https://www.migros.ch/fr/product/205008000000,"<a href=""https://www.flaticon.com/free-icons/yogurt"" title=""yogurt icons"">Yogurt icons created by Freepik - Flaticon</a>",yogourt,yogourt_nature_migros,Yogourt nature,Yogurt magro,Yogourt nature,Yogurt magro,M-Budget,500g,500g,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
83,Migros,Viandes et poissons,Carne e pesce,https://www.migros.ch/fr/product/251104930000,"<a href=""https://www.flaticon.com/free-icons/cod"" title=""cod icons"">Cod icons created by Freepik - Flaticon</a>",cabillaud,cabillaud_migros,,,Suprême de cabillaud,Filetto dorsale di merluzzo,M-Classic,1kg,1kg,41.0,42.56,39.0,43.0,42.83,43.0,43.0,43.0,43.0,36.5,43.0,30.1,43.0,36.5,43.0
84,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/103310100000,"<a href=""https://www.flaticon.com/free-icons/sunflower-oil"" title=""sunflower oil icons"">Sunflower oil icons created by Nikita Golubev - Flaticon</a>",huile_tournesol,huile_tournesol_migros,,,Huile de tournesol,Olio di girasole,M-Classic,1l,1l,4.85,4.85,4.85,4.85,4.85,4.95,4.95,4.95,4.95,4.95,4.95,4.85,5.1,5.4,5.4
85,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/513655000000,"<a href=""https://www.flaticon.com/free-icons/moisturizer"" title=""moisturizer icons"">Moisturizer icons created by Good Ware - Flaticon</a>",creme,creme_migros,Crème visage,Crema viso,Crème pour le visage en boîte,Crema per il viso in vasetto,Nivea,150ml,150ml,2.3,2.3,1.7,2.3,2.3,2.3,2.3,2.3,1.7,1.7,1.7,2.3,2.7,2.7,2.0
86,Migros,Boissons et alcools,Bevande e alcol,https://www.migros.ch/fr/product/mo/5178769,"<a href=""https://www.flaticon.com/free-icons/wine"" title=""wine icons"">Wine icons created by Freepik - Flaticon</a>",vin_blanc,vin_blanc_migros,Vin blanc Chili,Vino bianco Cile,Novas Sauvignon Blanc  Gran Reserva Vin blanc Bio San Antono Valley - Chili,Novas Sauvignon Blanc Gran Reserva Vino bianco bio Valle di San Antono (Cile),,75cl,75cl,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,10.95
87,Migros,Boissons et alcools,Bevande e alcol,https://www.migros.ch/fr/product/mo/125965,"<a href=""https://www.flaticon.com/free-icons/wine-glass"" title=""wine glass icons"">Wine glass icons created by Freepik - Flaticon</a>",vin_doux,vin_doux_migros,Vin doux Italie,Vino dolce Italia,Lambrusco Rosso  Viala IGT Vin doux Émilie-Romagna - Italie,Lambrusco Rosso Viala IGT Vino dolce Emilia-Romagna (Italia),,75cl,75cl,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
88,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/162026000000,"<a href=""https://www.flaticon.com/free-icons/fries"" title=""fries icons"">Fries icons created by monkik - Flaticon</a>",frite,frite_migros,,,Frites au four,Patatine fritte al forno,M-Classic,500g,500g,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
89,Migros,Hygiène et beauté,Igiene e bellezza,https://www.migros.ch/fr/product/520125600000,"<a href=""https://www.flaticon.com/free-icons/cotton"" title=""Cotton icons"">Cotton icons created by bearicons - Flaticon</a>",ouate,ouate_migros,Disques en ouate bio,Dischetti d'ovatta bio,Disques de ouate Coton Bio,Dischetti d'ovatta bio,Migros Bio,70 pièces ,70 pezzi,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85
90,Migros,Conserves et alimentation,Conserve e alimenti,https://www.migros.ch/fr/product/101950800000,"<a href=""https://www.flaticon.com/free-icons/chips"" title=""chips icons"">Chips icons created by Triberion - Flaticon</a>",chips,chips_migros,Chips paprika,Patatine alla paprika,Chips paprika,Patatine alla paprika,Zweifel  ,175g,175g,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95
91,Coop,Hygiène et beauté,Igiene e bellezza,https://www.coop.ch/fr/menage-animaux/soins-du-linge/detachants-soin-couleurs/detachant/prix-garantie-eau-javel/p/6521384,"<a href=""https://www.flaticon.com/free-icons/bleach"" title=""bleach icons"">Bleach icons created by Smashicons - Flaticon</a>",javel,javel_coop,,,Eau de Javel,Candeggina,Coop Prix Garantie ,2l,2l,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
92,Coop,Boissons et alcools,Bevande e alcol,https://www.coop.ch/fr/nourriture/boissons/bieres/bieres-en-multipacks/feldschloesschen-original-biere-blonde-10x33cl/p/3051548,"<a href=""https://www.flaticon.com/free-icons/beer"" title=""beer icons"">Beer icons created by Freepik - Flaticon</a>",biere,biere_blonde_coop,,,Bière blonde,Lager,Feldschlösschen,10 x 33cl,10 x 33cl,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9
93,Migros,Fruits & légumes,Frutta e verdura,https://www.migros.ch/fr/product/mo/96905,"<a href=""https://www.flaticon.com/free-icons/fruit"" title=""fruit icons"">Fruit icons created by Icongeek26 - Flaticon</a>",banane,banane_migros,,,Bananes,Banane,Chiquita,1kg,1kg,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.65,2.6,2.6,2.6,2.6
94,Migros,Produits laitiers,Latticini,https://www.migros.ch/fr/product/204015000000,"<a href=""https://www.flaticon.com/free-icons/milk"" title=""milk icons"">Milk icons created by amonrat rungreangfangsai - Flaticon</a>",lait,lait_migros,Lait,Latte,Lait entier bio,Latte intero bio,Migros Bio,1l,1l,1.85,1.85,1.85,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
