Magasin,Rayon,URL,Produit,Marque,Quantité/poids,17.05.2022,01.06.2022,15.06.2022,01.07.2022,15.07.2022,31.07.2022,16.08.2022,01.09.2022,15.09.2022,01.10.2022,15.10.2022,01.11.2022,14.11.2022,06.12.2022,16.12.2022,02.01.2023,16.01.2023,01.02.2023,20.02.2023,01.03.2023,15.03.2023,01.04.2023,14.04.2023,01.05.2023
Migros,Produits laitiers,https://www.migros.ch/fr/product/205077400000,Yogourt Vanille,M-Classic,2x200 g,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3
Migros,Produits laitiers,https://www.migros.ch/fr/product/212681200000,Mozzarella,Galbani,150g,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.25,2.25,2.25,2.4,2.4,2.4,2.4,2.4,2.4
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/107112500000,Café en grains Tradition,Chicco D'Oro  ,1kg,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.5,16.95,16.95,16.95,11.85,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/513893300000,Gel douche Africa,Axe,400 ml,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Migros,Viandes et poissons,https://www.migros.ch/fr/product/231512181000,Jambon de derrière,Del Maître,120g,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,3.65,4.35,4.35,4.35
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/520240200000,Serviettes hygiéniques,Always Ultra,22 pièces,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,
Migros,Fruits & légumes,https://www.migros.ch/fr/product/260283504100,Pommes bio de saison,Migros Bio,1kg,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,5,6.3,6.3,6.6,5.3,6.3,6.3,4.7,6.3,6.3,6.3,6.3,6.3
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/mo/12354,Lasagne Bolognaise,Findus,1kg,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.95
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/514160000000,Dentifrice Protection caries,Elmex,75ml,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Migros,Fruits & légumes,https://www.migros.ch/fr/product/263330108400,Oranges blondes,Fresca,1kg,1.55,1.55,1.55,1.55,1.55,1.55,1.65,2.25,2.25,2.15,1.88,1.93,1.58,1.55,1.55,1.55,1.48,1.38,1.38,1.38,1.38,1.38,1.38,1.38
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/521077800000,"Purée pour bébé Grenade, pomme et framboises / dès 6 mois",HiPP ,190g,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.45,1.45,1.85,1.85,1.85,1.85,1.85,1.85,1.4,1.95,1.95,1.95,1.95,1.95,1.95
Migros,Viandes et poissons,https://www.migros.ch/fr/product/220221000110,Viande hachée,IP Suisse,500g,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,10.5,10.5,8.25,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/104226400000,Céréales croustillants Chocolat,Kellogg's,600g,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,4.15,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/mo/9688,Pâte à tartiner au foie,Le Parfait,200g,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/513851100000,Gel-Douche,M-Budget,500ml,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Migros,Produits laitiers,https://www.migros.ch/fr/product/204241700000,Beurre,Migros,250g,3.6,3.65,3.65,3.65,3.65,3.65,3.65,3.7,3.7,3.7,3.7,3.7,3.7,3.75,3.75,3.8,3.8,3.95,3.95,3.95,3.95,3.95,3.95,3.95
Migros,Produits laitiers,https://www.migros.ch/fr/product/205008000000,Yogourt nature,M-Budget,500g,0.8,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Migros,Viandes et poissons,https://www.migros.ch/fr/product/251104930000,Suprême de cabillaud,M-Classic,1kg,41,42.56,39,43,42.83,43,43,43,43,36.5,43,30.1,43,36.5,43,34,49.5,49.5,49.5,49.5,39.6,49.5,55,55
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/103310100000,Huile de tournesol,M-Classic,1l,4.85,4.85,4.85,4.85,4.85,4.95,4.95,4.95,4.95,4.95,4.95,4.85,5.1,5.4,5.4,5.4,5.4,5.4,5.4,5.4,3.75,5.4,5.4,5.4
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/513655000000,Crème boîte,Nivea,150ml,2.3,2.3,1.7,2.3,2.3,2.3,2.3,2.3,1.7,1.7,1.7,2.3,2.7,2.7,2,2.7,2.7,2,2.7,2.7,2.7,2.7,2.7,2
Migros,Boissons et alcools,https://www.migros.ch/fr/product/mo/5178769,Sauvignon Blanc bio,Novas - Gran Reserva - San Antono Valley - Chili,75cl,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,10.95,10.95,13.7,13.7,10.95,13.95,13.95,13.95,13.95,13.95
Migros,Boissons et alcools,https://www.migros.ch/fr/product/mo/125965,Vin doux,Lambrusco Rosso  Viala IGT- Émilie-Romagna - Italie,75cl,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/162026000000,Frites au four,M-Classic,500g,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/520125600000,Disques de ouate Coton Bio,Migros Bio,70 pièces ,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.95,1.95,1.95,1.95,1.4,2.1,2.1
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/526214100000,Papier de toilette,Tempo  Premium,Pack de 9 pièces,9.3,9.3,9,9.5,9.5,9.5,9.5,9.5,9.5,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,10.95,10.95,10.95,10.95,10.95,10.95
Migros,Hygiène et beauté,https://www.migros.ch/fr/product/mo/4448505,Lessive liquide,Persil,5l,28.95,28.95,,29.9,29.9,28.95,28.95,28.95,28.95,28.95,29.9,28.95,,29.9,29.9,29.9,29.9,29.9,29.9,29.9,31.9,31.9,31.9,32
Migros,Fruits & légumes,https://www.migros.ch/fr/product/mo/96905,Bananes,Chiquita,1kg,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.65,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Migros,Produits laitiers,https://www.migros.ch/fr/product/204015000000,Lait entier bio,Migros Bio,1l,1.85,1.85,1.85,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95
Migros,Conserves et alimentation,https://www.migros.ch/fr/product/101950800000,Chips paprika,Zweifel  ,175g,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3,3.95,3.95,3.95,3.95,3.95,3.95
,Total,,,,,,369.46,336.9,382.32,381.02,380.21,379.97,380.77,380.33,376.48,375.86,356.16,339.76,366.88,365.58,363.08,375.91,385.59,381.91,388.94,,,,367.86
